scaling_coef,dataset,acc
0.0,Cars,0.637731625419724
0.0,EuroSAT,0.24555555555555555
0.0,RESISC45,0.6166666666666667
0.0,GTSRB,0.41860649247822646
0.1,Cars,0.6829996269120756
0.1,EuroSAT,0.4311111111111111
0.1,RESISC45,0.7150793650793651
0.1,GTSRB,0.5264449722882026
0.2,Cars,0.7150851884094018
0.2,EuroSAT,0.5951851851851852
0.2,RESISC45,0.7744444444444445
0.2,GTSRB,0.6510688836104513
0.30000000000000004,Cars,0.7342370351946276
0.30000000000000004,EuroSAT,0.6333333333333333
0.30000000000000004,RESISC45,0.8136507936507936
0.30000000000000004,GTSRB,0.7696753760886778
0.4,Cars,0.7368486506653401
0.4,EuroSAT,0.6207407407407407
0.4,RESISC45,0.8266666666666667
0.4,GTSRB,0.8288994457640538
0.5,Cars,0.7175724412386519
0.5,EuroSAT,0.5874074074074074
0.5,RESISC45,0.813015873015873
0.5,GTSRB,0.8401425178147268
0.6000000000000001,Cars,0.6744186046511628
0.6000000000000001,EuroSAT,0.5555555555555556
0.6000000000000001,RESISC45,0.7879365079365079
0.6000000000000001,GTSRB,0.8369754552652415
0.7000000000000001,Cars,0.6056460639223977
0.7000000000000001,EuroSAT,0.5155555555555555
0.7000000000000001,RESISC45,0.75
0.7000000000000001,GTSRB,0.8125890736342043
0.8,Cars,0.5153587862206194
0.8,EuroSAT,0.46814814814814815
0.8,RESISC45,0.7080952380952381
0.8,GTSRB,0.7677751385589865
0.9,Cars,0.38042532023380177
0.9,EuroSAT,0.4122222222222222
0.9,RESISC45,0.6487301587301587
0.9,GTSRB,0.7107680126682502
1.0,Cars,0.24200970028603408
1.0,EuroSAT,0.36666666666666664
1.0,RESISC45,0.5750793650793651
1.0,GTSRB,0.6521773555027712
