scaling_coef,dataset,acc
0.0,Cars,0.6265389876880985
0.0,EuroSAT,0.28888888888888886
0.0,RESISC45,0.6303174603174603
0.0,GTSRB,0.35771971496437055
0.1,Cars,0.6762840442731004
0.1,EuroSAT,0.4925925925925926
0.1,RESISC45,0.7365079365079366
0.1,GTSRB,0.46405384006334127
0.2,Cars,0.7130953861460018
0.2,EuroSAT,0.6622222222222223
0.2,RESISC45,0.803015873015873
0.2,GTSRB,0.5965954077593032
0.30000000000000004,Cars,0.7370973759482652
0.30000000000000004,EuroSAT,0.7103703703703703
0.30000000000000004,RESISC45,0.8422222222222222
0.30000000000000004,GTSRB,0.7209026128266033
0.4,Cars,0.7412013431165277
0.4,EuroSAT,0.72
0.4,RESISC45,0.8507936507936508
0.4,GTSRB,0.7730799683293745
0.5,Cars,0.7220494963313021
0.5,EuroSAT,0.7122222222222222
0.5,RESISC45,0.8385714285714285
0.5,GTSRB,0.7864608076009502
0.6000000000000001,Cars,0.677900758612113
0.6000000000000001,EuroSAT,0.6881481481481482
0.6000000000000001,RESISC45,0.8149206349206349
0.6000000000000001,GTSRB,0.7847980997624703
0.7000000000000001,Cars,0.6134809103345356
0.7000000000000001,EuroSAT,0.6570370370370371
0.7000000000000001,RESISC45,0.7749206349206349
0.7000000000000001,GTSRB,0.7618368962787015
0.8,Cars,0.507399577167019
0.8,EuroSAT,0.6159259259259259
0.8,RESISC45,0.7336507936507937
0.8,GTSRB,0.7270783847980997
0.9,Cars,0.359034945902251
0.9,EuroSAT,0.5655555555555556
0.9,RESISC45,0.6852380952380952
0.9,GTSRB,0.6696753760886778
1.0,Cars,0.20743688595945778
1.0,EuroSAT,0.5177777777777778
1.0,RESISC45,0.6236507936507937
1.0,GTSRB,0.6022961203483769
