scaling_coef,dataset,acc
0.0,Cars,0.6203208556149733
0.0,EuroSAT,0.3062962962962963
0.0,RESISC45,0.5742857142857143
0.0,GTSRB,0.32422802850356297
0.1,Cars,0.6672055714463375
0.1,EuroSAT,0.4185185185185185
0.1,RESISC45,0.687936507936508
0.1,GTSRB,0.39968329374505146
0.2,Cars,0.7010322099241388
0.2,EuroSAT,0.5403703703703704
0.2,RESISC45,0.7566666666666667
0.2,GTSRB,0.49049881235154397
0.30000000000000004,Cars,0.7175724412386519
0.30000000000000004,EuroSAT,0.5866666666666667
0.30000000000000004,RESISC45,0.7936507936507936
0.30000000000000004,GTSRB,0.6045130641330166
0.4,Cars,0.7249098370849397
0.4,EuroSAT,0.6148148148148148
0.4,RESISC45,0.8012698412698412
0.4,GTSRB,0.6866191607284244
0.5,Cars,0.7041412759607014
0.5,EuroSAT,0.6370370370370371
0.5,RESISC45,0.7934920634920635
0.5,GTSRB,0.7210609659540776
0.6000000000000001,Cars,0.6592463623927373
0.6000000000000001,EuroSAT,0.6503703703703704
0.6000000000000001,RESISC45,0.7706349206349207
0.6000000000000001,GTSRB,0.7311955661124308
0.7000000000000001,Cars,0.5897276458151971
0.7000000000000001,EuroSAT,0.6503703703703704
0.7000000000000001,RESISC45,0.7411111111111112
0.7000000000000001,GTSRB,0.718368962787015
0.8,Cars,0.4809103345355055
0.8,EuroSAT,0.6240740740740741
0.8,RESISC45,0.6942857142857143
0.8,GTSRB,0.6866983372921616
0.9,Cars,0.33839074741947517
0.9,EuroSAT,0.57
0.9,RESISC45,0.6398412698412699
0.9,GTSRB,0.6384006334125099
1.0,Cars,0.19338390747419476
1.0,EuroSAT,0.5181481481481481
1.0,RESISC45,0.5765079365079365
1.0,GTSRB,0.5812351543942993
