scaling_coef,dataset,acc
0.0,Cars,0.637731625419724
0.0,EuroSAT,0.24555555555555555
0.0,RESISC45,0.6166666666666667
0.0,GTSRB,0.41860649247822646
0.1,Cars,0.6740455167267753
0.1,EuroSAT,0.3459259259259259
0.1,RESISC45,0.6941269841269841
0.1,GTSRB,0.47854315122723673
0.2,Cars,0.706504166148489
0.2,EuroSAT,0.45740740740740743
0.2,RESISC45,0.7511111111111111
0.2,GTSRB,0.5431512272367379
0.30000000000000004,Cars,0.7339883099117025
0.30000000000000004,EuroSAT,0.5796296296296296
0.30000000000000004,RESISC45,0.8001587301587302
0.30000000000000004,GTSRB,0.6311163895486935
0.4,Cars,0.7520208929237657
0.4,EuroSAT,0.6311111111111111
0.4,RESISC45,0.8325396825396826
0.4,GTSRB,0.7226444972288203
0.5,Cars,0.7688098495212038
0.5,EuroSAT,0.654074074074074
0.5,RESISC45,0.8536507936507937
0.5,GTSRB,0.7821852731591449
0.6000000000000001,Cars,0.775276706877254
0.6000000000000001,EuroSAT,0.6566666666666666
0.6000000000000001,RESISC45,0.8604761904761905
0.6000000000000001,GTSRB,0.8184481393507522
0.7000000000000001,Cars,0.7726650914065415
0.7000000000000001,EuroSAT,0.6411111111111111
0.7000000000000001,RESISC45,0.8561904761904762
0.7000000000000001,GTSRB,0.8346001583531275
0.8,Cars,0.7606019151846786
0.8,EuroSAT,0.6233333333333333
0.8,RESISC45,0.8503174603174604
0.8,GTSRB,0.8404592240696753
0.9,Cars,0.7364755627409526
0.9,EuroSAT,0.6044444444444445
0.9,RESISC45,0.8376190476190476
0.9,GTSRB,0.8413301662707838
1.0,Cars,0.7048874518094764
1.0,EuroSAT,0.5851851851851851
1.0,RESISC45,0.82
1.0,GTSRB,0.8315914489311164
