scaling_coef,dataset,acc
0.0,Cars,0.6313891307051361
0.0,EuroSAT,0.26407407407407407
0.0,RESISC45,0.5798412698412698
0.0,GTSRB,0.23642121931908155
0.1,Cars,0.6664593955975625
0.1,EuroSAT,0.32592592592592595
0.1,RESISC45,0.6544444444444445
0.1,GTSRB,0.29231987331749804
0.2,Cars,0.7002860340753637
0.2,EuroSAT,0.3925925925925926
0.2,RESISC45,0.7219047619047619
0.2,GTSRB,0.35771971496437055
0.30000000000000004,Cars,0.7278945404800398
0.30000000000000004,EuroSAT,0.4762962962962963
0.30000000000000004,RESISC45,0.7698412698412699
0.30000000000000004,GTSRB,0.42232779097387174
0.4,Cars,0.745927123492103
0.4,EuroSAT,0.5688888888888889
0.4,RESISC45,0.8082539682539682
0.4,GTSRB,0.486381631037213
0.5,Cars,0.7591095634871284
0.5,EuroSAT,0.5929629629629629
0.5,RESISC45,0.8263492063492064
0.5,GTSRB,0.5292161520190024
0.6000000000000001,Cars,0.7670687725407288
0.6000000000000001,EuroSAT,0.5933333333333334
0.6000000000000001,RESISC45,0.8315873015873015
0.6000000000000001,GTSRB,0.5620744259699129
0.7000000000000001,Cars,0.7648302449944037
0.7000000000000001,EuroSAT,0.5922222222222222
0.7000000000000001,RESISC45,0.8285714285714286
0.7000000000000001,GTSRB,0.5809976247030879
0.8,Cars,0.7518965302823032
0.8,EuroSAT,0.5851851851851851
0.8,RESISC45,0.8177777777777778
0.8,GTSRB,0.5980205859065717
0.9,Cars,0.7322472329312275
0.9,EuroSAT,0.5748148148148148
0.9,RESISC45,0.8057142857142857
0.9,GTSRB,0.6045130641330166
1.0,Cars,0.7045143638850889
1.0,EuroSAT,0.5725925925925925
1.0,RESISC45,0.7860317460317461
1.0,GTSRB,0.6064133016627078
