scaling_coef,dataset,acc
0.0,Cars,0.6468100982464867
0.0,EuroSAT,0.33
0.0,RESISC45,0.6496825396825396
0.0,GTSRB,0.3472684085510689
0.1,Cars,0.6841188906852381
0.1,EuroSAT,0.4325925925925926
0.1,RESISC45,0.7273015873015873
0.1,GTSRB,0.4016627078384798
0.2,Cars,0.719064792936202
0.2,EuroSAT,0.5448148148148149
0.2,RESISC45,0.7866666666666666
0.2,GTSRB,0.4606492478226445
0.30000000000000004,Cars,0.7482900136798906
0.30000000000000004,EuroSAT,0.6685185185185185
0.30000000000000004,RESISC45,0.8377777777777777
0.30000000000000004,GTSRB,0.5414885193982582
0.4,Cars,0.771545827633379
0.4,EuroSAT,0.7222222222222222
0.4,RESISC45,0.8690476190476191
0.4,GTSRB,0.6151227236737925
0.5,Cars,0.7894540480039796
0.5,EuroSAT,0.7425925925925926
0.5,RESISC45,0.8861904761904762
0.5,GTSRB,0.665083135391924
0.6000000000000001,Cars,0.7980350702648924
0.6000000000000001,EuroSAT,0.7611111111111111
0.6000000000000001,RESISC45,0.8915873015873016
0.6000000000000001,GTSRB,0.6994457640538401
0.7000000000000001,Cars,0.7950503668697924
0.7000000000000001,EuroSAT,0.7607407407407407
0.7000000000000001,RESISC45,0.8861904761904762
0.7000000000000001,GTSRB,0.7205067300079177
0.8,Cars,0.786842432533267
0.8,EuroSAT,0.7555555555555555
0.8,RESISC45,0.8788888888888889
0.8,GTSRB,0.7329374505146476
0.9,Cars,0.7665713219748788
0.9,EuroSAT,0.75
0.9,RESISC45,0.8631746031746032
0.9,GTSRB,0.7384006334125099
1.0,Cars,0.7342370351946276
1.0,EuroSAT,0.7362962962962963
1.0,RESISC45,0.8477777777777777
1.0,GTSRB,0.7399841646872526
