scaling_coef,dataset,acc
0.0,Cars,0.6265389876880985
0.0,EuroSAT,0.28888888888888886
0.0,RESISC45,0.6303174603174603
0.0,GTSRB,0.35771971496437055
0.1,Cars,0.6662106703146374
0.1,EuroSAT,0.40370370370370373
0.1,RESISC45,0.7146031746031746
0.1,GTSRB,0.42003167062549485
0.2,Cars,0.7012809352070638
0.2,EuroSAT,0.5314814814814814
0.2,RESISC45,0.7774603174603174
0.2,GTSRB,0.48661916072842437
0.30000000000000004,Cars,0.7312523317995274
0.30000000000000004,EuroSAT,0.6548148148148148
0.30000000000000004,RESISC45,0.8233333333333334
0.30000000000000004,GTSRB,0.5743467933491686
0.4,Cars,0.7530157940554657
0.4,EuroSAT,0.7055555555555556
0.4,RESISC45,0.8576190476190476
0.4,GTSRB,0.6663499604117181
0.5,Cars,0.773286904613854
0.5,EuroSAT,0.7307407407407407
0.5,RESISC45,0.8757142857142857
0.5,GTSRB,0.7303246239113222
0.6000000000000001,Cars,0.7801268498942917
0.6000000000000001,EuroSAT,0.7437037037037038
0.6000000000000001,RESISC45,0.883015873015873
0.6000000000000001,GTSRB,0.7593032462391133
0.7000000000000001,Cars,0.7754010695187166
0.7000000000000001,EuroSAT,0.7488888888888889
0.7000000000000001,RESISC45,0.8793650793650793
0.7000000000000001,GTSRB,0.7757719714964371
0.8,Cars,0.7618455415993036
0.8,EuroSAT,0.7466666666666667
0.8,RESISC45,0.8687301587301587
0.8,GTSRB,0.783452098178939
0.9,Cars,0.7408282551921402
0.9,EuroSAT,0.7351851851851852
0.9,RESISC45,0.853015873015873
0.9,GTSRB,0.784006334125099
1.0,Cars,0.7099863201094391
1.0,EuroSAT,0.7151851851851851
1.0,RESISC45,0.834920634920635
1.0,GTSRB,0.7749010292953286
