scaling_coef,dataset,acc
0.0,Cars,0.03917423206068897
0.0,EuroSAT,0.16777777777777778
0.0,RESISC45,0.11301587301587301
0.0,GTSRB,0.35304829770387963
0.1,Cars,0.042905111304564106
0.1,EuroSAT,0.1985185185185185
0.1,RESISC45,0.1465079365079365
0.1,GTSRB,0.41749802058590657
0.2,Cars,0.04588981469966422
0.2,EuroSAT,0.2662962962962963
0.2,RESISC45,0.17761904761904762
0.2,GTSRB,0.4871733966745843
0.30000000000000004,Cars,0.04899888073622684
0.30000000000000004,EuroSAT,0.36333333333333334
0.30000000000000004,RESISC45,0.21444444444444444
0.30000000000000004,GTSRB,0.5764053840063341
0.4,Cars,0.0480039796045268
0.4,EuroSAT,0.3811111111111111
0.4,RESISC45,0.23825396825396825
0.4,GTSRB,0.6690419635787807
0.5,Cars,0.04315383658748912
0.5,EuroSAT,0.3781481481481481
0.5,RESISC45,0.24936507936507937
0.5,GTSRB,0.7279493269992082
0.6000000000000001,Cars,0.03507026489242632
0.6000000000000001,EuroSAT,0.38333333333333336
0.6000000000000001,RESISC45,0.24634920634920635
0.6000000000000001,GTSRB,0.7670625494853524
0.7000000000000001,Cars,0.030344484516851136
0.7000000000000001,EuroSAT,0.3811111111111111
0.7000000000000001,RESISC45,0.2365079365079365
0.7000000000000001,GTSRB,0.7879651623119557
0.8,Cars,0.02449944036811342
0.8,EuroSAT,0.3788888888888889
0.8,RESISC45,0.21888888888888888
0.8,GTSRB,0.8001583531274743
0.9,Cars,0.02101728640716329
0.9,EuroSAT,0.36962962962962964
0.9,RESISC45,0.20444444444444446
0.9,GTSRB,0.8045130641330166
1.0,Cars,0.01654023131451312
1.0,EuroSAT,0.3648148148148148
1.0,RESISC45,0.19047619047619047
1.0,GTSRB,0.797070467141726
