scaling_coef,dataset,acc
0.0,Cars,0.6203208556149733
0.0,EuroSAT,0.3062962962962963
0.0,RESISC45,0.5742857142857143
0.0,GTSRB,0.32422802850356297
0.1,Cars,0.6581270986195746
0.1,EuroSAT,0.37777777777777777
0.1,RESISC45,0.6633333333333333
0.1,GTSRB,0.3624703087885986
0.2,Cars,0.692451187663226
0.2,EuroSAT,0.44555555555555554
0.2,RESISC45,0.726984126984127
0.2,GTSRB,0.41092636579572445
0.30000000000000004,Cars,0.721054595199602
0.30000000000000004,EuroSAT,0.5066666666666667
0.30000000000000004,RESISC45,0.7780952380952381
0.30000000000000004,GTSRB,0.46943784639746633
0.4,Cars,0.7414500683994528
0.4,EuroSAT,0.5551851851851852
0.4,RESISC45,0.8152380952380952
0.4,GTSRB,0.5456848772763262
0.5,Cars,0.7571197612237284
0.5,EuroSAT,0.5740740740740741
0.5,RESISC45,0.837936507936508
0.5,GTSRB,0.6163895486935868
0.6000000000000001,Cars,0.7634622559383162
0.6000000000000001,EuroSAT,0.5888888888888889
0.6000000000000001,RESISC45,0.8458730158730159
0.6000000000000001,GTSRB,0.6661916072842439
0.7000000000000001,Cars,0.7623429921651536
0.7000000000000001,EuroSAT,0.6025925925925926
0.7000000000000001,RESISC45,0.8406349206349206
0.7000000000000001,GTSRB,0.698812351543943
0.8,Cars,0.7504041785847532
0.8,EuroSAT,0.6155555555555555
0.8,RESISC45,0.8307936507936508
0.8,GTSRB,0.7140142517814727
0.9,Cars,0.7287650789702773
0.9,EuroSAT,0.6244444444444445
0.9,RESISC45,0.816984126984127
0.9,GTSRB,0.7216943784639747
1.0,Cars,0.6959333416241761
1.0,EuroSAT,0.6333333333333333
1.0,RESISC45,0.7968253968253968
1.0,GTSRB,0.7204275534441805
