scaling_coef,dataset,acc
0.0,Cars,0.5973137669444099
0.0,EuroSAT,0.4588888888888889
0.0,RESISC45,0.6066666666666667
0.0,GTSRB,0.32628661916072843
0.1,Cars,0.6321353065539113
0.1,EuroSAT,0.7448148148148148
0.1,RESISC45,0.7204761904761905
0.1,GTSRB,0.4740300870942201
0.2,Cars,0.6571321974878747
0.2,EuroSAT,0.8881481481481481
0.2,RESISC45,0.7914285714285715
0.2,GTSRB,0.6256532066508314
0.30000000000000004,Cars,0.6689466484268126
0.30000000000000004,EuroSAT,0.9481481481481482
0.30000000000000004,RESISC45,0.8266666666666667
0.30000000000000004,GTSRB,0.7506730007917657
0.4,Cars,0.6568834722049496
0.4,EuroSAT,0.9592592592592593
0.4,RESISC45,0.823968253968254
0.4,GTSRB,0.8083927157561361
0.5,Cars,0.6187041412759607
0.5,EuroSAT,0.9629629629629629
0.5,RESISC45,0.803015873015873
0.5,GTSRB,0.8296120348376881
0.6000000000000001,Cars,0.5500559631886581
0.6000000000000001,EuroSAT,0.9507407407407408
0.6000000000000001,RESISC45,0.7655555555555555
0.6000000000000001,GTSRB,0.831908155186065
0.7000000000000001,Cars,0.4296729262529536
0.7000000000000001,EuroSAT,0.9318518518518518
0.7000000000000001,RESISC45,0.7212698412698413
0.7000000000000001,GTSRB,0.8180522565320665
0.8,Cars,0.27571197612237286
0.8,EuroSAT,0.8951851851851852
0.8,RESISC45,0.6719047619047619
0.8,GTSRB,0.7889944576405384
0.9,Cars,0.13667454296729262
0.9,EuroSAT,0.8533333333333334
0.9,RESISC45,0.6120634920634921
0.9,GTSRB,0.7446555819477435
1.0,Cars,0.057455540355677154
1.0,EuroSAT,0.8118518518518518
1.0,RESISC45,0.552063492063492
1.0,GTSRB,0.6885985748218527
