scaling_coef,dataset,acc
0.0,Cars,0.5503046884715831
0.0,EuroSAT,0.2351851851851852
0.0,RESISC45,0.5488888888888889
0.0,GTSRB,0.18329374505146476
0.1,Cars,0.5934585250590723
0.1,EuroSAT,0.412962962962963
0.1,RESISC45,0.6661904761904762
0.1,GTSRB,0.2729216152019002
0.2,Cars,0.6220619325954483
0.2,EuroSAT,0.49148148148148146
0.2,RESISC45,0.7358730158730159
0.2,GTSRB,0.3851148060174188
0.30000000000000004,Cars,0.6344981967416988
0.30000000000000004,EuroSAT,0.5507407407407408
0.30000000000000004,RESISC45,0.7652380952380953
0.30000000000000004,GTSRB,0.4942992874109264
0.4,Cars,0.6287775152344236
0.4,EuroSAT,0.5737037037037037
0.4,RESISC45,0.7609523809523809
0.4,GTSRB,0.5737133808392716
0.5,Cars,0.5968163163785599
0.5,EuroSAT,0.5707407407407408
0.5,RESISC45,0.7388888888888889
0.5,GTSRB,0.6233570863024545
0.6000000000000001,Cars,0.5289143141400323
0.6000000000000001,EuroSAT,0.5655555555555556
0.6000000000000001,RESISC45,0.7042857142857143
0.6000000000000001,GTSRB,0.6458432304038004
0.7000000000000001,Cars,0.40940181569456535
0.7000000000000001,EuroSAT,0.5674074074074074
0.7000000000000001,RESISC45,0.6565079365079365
0.7000000000000001,GTSRB,0.6555819477434679
0.8,Cars,0.25979355801517223
0.8,EuroSAT,0.5640740740740741
0.8,RESISC45,0.6050793650793651
0.8,GTSRB,0.6472684085510689
0.9,Cars,0.13020768561124238
0.9,EuroSAT,0.5648148148148148
0.9,RESISC45,0.5484126984126985
0.9,GTSRB,0.6225653206650832
1.0,Cars,0.05571446337520209
1.0,EuroSAT,0.5611111111111111
1.0,RESISC45,0.49412698412698414
1.0,GTSRB,0.5862232779097387
