scaling_coef,dataset,acc
0.0,Cars,0.5289143141400323
0.0,EuroSAT,0.23777777777777778
0.0,RESISC45,0.4982539682539682
0.0,GTSRB,0.1955661124307205
0.1,Cars,0.575425942047009
0.1,EuroSAT,0.37148148148148147
0.1,RESISC45,0.6150793650793651
0.1,GTSRB,0.2564528899445764
0.2,Cars,0.6057704265638603
0.2,EuroSAT,0.44925925925925925
0.2,RESISC45,0.6915873015873016
0.2,GTSRB,0.32304038004750596
0.30000000000000004,Cars,0.6182066907101107
0.30000000000000004,EuroSAT,0.4811111111111111
0.30000000000000004,RESISC45,0.7257142857142858
0.30000000000000004,GTSRB,0.4075217735550277
0.4,Cars,0.6132321850516105
0.4,EuroSAT,0.5
0.4,RESISC45,0.7312698412698413
0.4,GTSRB,0.483452098178939
0.5,Cars,0.5828877005347594
0.5,EuroSAT,0.48777777777777775
0.5,RESISC45,0.713015873015873
0.5,GTSRB,0.5357086302454473
0.6000000000000001,Cars,0.5179704016913319
0.6000000000000001,EuroSAT,0.4659259259259259
0.6000000000000001,RESISC45,0.676031746031746
0.6000000000000001,GTSRB,0.5663499604117181
0.7000000000000001,Cars,0.40181569456535254
0.7000000000000001,EuroSAT,0.4537037037037037
0.7000000000000001,RESISC45,0.6301587301587301
0.7000000000000001,GTSRB,0.5722882026920032
0.8,Cars,0.2500932719810969
0.8,EuroSAT,0.4551851851851852
0.8,RESISC45,0.5839682539682539
0.8,GTSRB,0.5636579572446556
0.9,Cars,0.1280935207063798
0.9,EuroSAT,0.472962962962963
0.9,RESISC45,0.5303174603174603
0.9,GTSRB,0.5422802850356294
1.0,Cars,0.05621191394105211
1.0,EuroSAT,0.4785185185185185
1.0,RESISC45,0.4704761904761905
1.0,GTSRB,0.5089469517022961
