scaling_coef,dataset,acc
0.0,Cars,0.5937072503419972
0.0,EuroSAT,0.2518518518518518
0.0,RESISC45,0.6085714285714285
0.0,GTSRB,0.2758511480601742
0.1,Cars,0.6321353065539113
0.1,EuroSAT,0.47
0.1,RESISC45,0.7225396825396826
0.1,GTSRB,0.3658749010292953
0.2,Cars,0.6526551423952245
0.2,EuroSAT,0.6525925925925926
0.2,RESISC45,0.7871428571428571
0.2,GTSRB,0.472763262074426
0.30000000000000004,Cars,0.6653401318244
0.30000000000000004,EuroSAT,0.7244444444444444
0.30000000000000004,RESISC45,0.8228571428571428
0.30000000000000004,GTSRB,0.6007917656373714
0.4,Cars,0.6512871533391369
0.4,EuroSAT,0.7481481481481481
0.4,RESISC45,0.8219047619047619
0.4,GTSRB,0.6749010292953286
0.5,Cars,0.6144758114662355
0.5,EuroSAT,0.7522222222222222
0.5,RESISC45,0.7984126984126985
0.5,GTSRB,0.7125098970704672
0.6000000000000001,Cars,0.5458276333789329
0.6000000000000001,EuroSAT,0.7325925925925926
0.6000000000000001,RESISC45,0.7598412698412699
0.6000000000000001,GTSRB,0.7262866191607285
0.7000000000000001,Cars,0.4253202338017659
0.7000000000000001,EuroSAT,0.7103703703703703
0.7000000000000001,RESISC45,0.7195238095238096
0.7000000000000001,GTSRB,0.723119556611243
0.8,Cars,0.27061310782241016
0.8,EuroSAT,0.6755555555555556
0.8,RESISC45,0.6655555555555556
0.8,GTSRB,0.6975455265241488
0.9,Cars,0.13567964183559258
0.9,EuroSAT,0.6477777777777778
0.9,RESISC45,0.6047619047619047
0.9,GTSRB,0.6641330166270784
1.0,Cars,0.05658500186543962
1.0,EuroSAT,0.6088888888888889
1.0,RESISC45,0.5461904761904762
1.0,GTSRB,0.6215360253365004
