scaling_coef,dataset,acc
0.0,Cars,0.03208556149732621
0.0,EuroSAT,0.1751851851851852
0.0,RESISC45,0.1219047619047619
0.0,GTSRB,0.30221694378463976
0.1,Cars,0.0374331550802139
0.1,EuroSAT,0.2885185185185185
0.1,RESISC45,0.17904761904761904
0.1,GTSRB,0.4116389548693587
0.2,Cars,0.030841935082701156
0.2,EuroSAT,0.3988888888888889
0.2,RESISC45,0.21317460317460318
0.2,GTSRB,0.5346001583531275
0.30000000000000004,Cars,0.027857231687601045
0.30000000000000004,EuroSAT,0.42703703703703705
0.30000000000000004,RESISC45,0.2280952380952381
0.30000000000000004,GTSRB,0.666270783847981
0.4,Cars,0.023380176594950876
0.4,EuroSAT,0.42592592592592593
0.4,RESISC45,0.21793650793650793
0.4,GTSRB,0.7369754552652414
0.5,Cars,0.019027484143763214
0.5,EuroSAT,0.4255555555555556
0.5,RESISC45,0.20015873015873015
0.5,GTSRB,0.7681710213776722
0.6000000000000001,Cars,0.017286407163288147
0.6000000000000001,EuroSAT,0.42703703703703705
0.6000000000000001,RESISC45,0.18349206349206348
0.6000000000000001,GTSRB,0.7730007917656374
0.7000000000000001,Cars,0.013555527919413009
0.7000000000000001,EuroSAT,0.42074074074074075
0.7000000000000001,RESISC45,0.16523809523809524
0.7000000000000001,GTSRB,0.759778305621536
0.8,Cars,0.012187538863325457
0.8,EuroSAT,0.4088888888888889
0.8,RESISC45,0.15047619047619049
0.8,GTSRB,0.7330166270783848
0.9,Cars,0.011938813580400448
0.9,EuroSAT,0.39740740740740743
0.9,RESISC45,0.13603174603174603
0.9,GTSRB,0.6866983372921616
1.0,Cars,0.012063176221862952
1.0,EuroSAT,0.3788888888888889
1.0,RESISC45,0.12412698412698413
1.0,GTSRB,0.6266825019794141
