scaling_coef,dataset,acc
0.0,Cars,0.5973137669444099
0.0,EuroSAT,0.4588888888888889
0.0,RESISC45,0.6066666666666667
0.0,GTSRB,0.32628661916072843
0.1,Cars,0.626165899763711
0.1,EuroSAT,0.6451851851851852
0.1,RESISC45,0.689047619047619
0.1,GTSRB,0.42494061757719714
0.2,Cars,0.6536500435269245
0.2,EuroSAT,0.7588888888888888
0.2,RESISC45,0.7533333333333333
0.2,GTSRB,0.5319873317498021
0.30000000000000004,Cars,0.6751647804999378
0.30000000000000004,EuroSAT,0.837037037037037
0.30000000000000004,RESISC45,0.7980952380952381
0.30000000000000004,GTSRB,0.6533650039588282
0.4,Cars,0.6944409899266261
0.4,EuroSAT,0.8922222222222222
0.4,RESISC45,0.8284126984126984
0.4,GTSRB,0.7387173396674585
0.5,Cars,0.7022758363387638
0.5,EuroSAT,0.9337037037037037
0.5,RESISC45,0.844920634920635
0.5,GTSRB,0.7902612826603326
0.6000000000000001,Cars,0.7017783857729138
0.6000000000000001,EuroSAT,0.9514814814814815
0.6000000000000001,RESISC45,0.8507936507936508
0.6000000000000001,GTSRB,0.8205067300079176
0.7000000000000001,Cars,0.6894664842681258
0.7000000000000001,EuroSAT,0.9574074074074074
0.7000000000000001,RESISC45,0.8442857142857143
0.7000000000000001,GTSRB,0.8399049881235154
0.8,Cars,0.6649670439000125
0.8,EuroSAT,0.9566666666666667
0.8,RESISC45,0.8280952380952381
0.8,GTSRB,0.8486144101346002
0.9,Cars,0.6277826141027235
0.9,EuroSAT,0.9537037037037037
0.9,RESISC45,0.803968253968254
0.9,GTSRB,0.8495645288994458
1.0,Cars,0.5728143265762965
1.0,EuroSAT,0.9425925925925925
1.0,RESISC45,0.7792063492063492
1.0,GTSRB,0.8432304038004751
