scaling_coef,dataset,acc
0.0,Cars,0.5289143141400323
0.0,EuroSAT,0.23777777777777778
0.0,RESISC45,0.4982539682539682
0.0,GTSRB,0.1955661124307205
0.1,Cars,0.5674667329934088
0.1,EuroSAT,0.31222222222222223
0.1,RESISC45,0.5738095238095238
0.1,GTSRB,0.24101346001583532
0.2,Cars,0.5973137669444099
0.2,EuroSAT,0.36777777777777776
0.2,RESISC45,0.6442857142857142
0.2,GTSRB,0.28820269200316706
0.30000000000000004,Cars,0.6205695808978983
0.30000000000000004,EuroSAT,0.41962962962962963
0.30000000000000004,RESISC45,0.7038095238095238
0.30000000000000004,GTSRB,0.3486935866983373
0.4,Cars,0.6464370103220992
0.4,EuroSAT,0.4596296296296296
0.4,RESISC45,0.7396825396825397
0.4,GTSRB,0.4133808392715756
0.5,Cars,0.6622310657878373
0.5,EuroSAT,0.48
0.5,RESISC45,0.7692063492063492
0.5,GTSRB,0.46730007917656374
0.6000000000000001,Cars,0.6642208680512374
0.6000000000000001,EuroSAT,0.49407407407407405
0.6000000000000001,RESISC45,0.7793650793650794
0.6000000000000001,GTSRB,0.5130641330166271
0.7000000000000001,Cars,0.653276955602537
0.7000000000000001,EuroSAT,0.5014814814814815
0.7000000000000001,RESISC45,0.7752380952380953
0.7000000000000001,GTSRB,0.5455265241488519
0.8,Cars,0.6328814824026863
0.8,EuroSAT,0.502962962962963
0.8,RESISC45,0.7638095238095238
0.8,GTSRB,0.5756136183689627
0.9,Cars,0.6012933714712101
0.9,EuroSAT,0.5055555555555555
0.9,RESISC45,0.7403174603174603
0.9,GTSRB,0.5977038796516231
1.0,Cars,0.5478174356423331
1.0,EuroSAT,0.4974074074074074
1.0,RESISC45,0.7131746031746031
1.0,GTSRB,0.6090261282660333
