step,SUN397,Cars,RESISC45,EuroSAT,SVHN,GTSRB,MNIST,DTD
100,0.8065491183879093,0.9182937445591345,0.9488888888888889,0.9811111111111112,0.9707667486170867,0.9908155186064925,0.995,0.8409574468085106
200,0.8116876574307305,0.9228951622932471,0.9425396825396826,0.9937037037037038,0.9761447449293178,0.9923990498812352,0.9956,0.8377659574468085
300,0.8126448362720403,0.9184181072005969,0.9568253968253968,0.9925925925925926,0.9771435156730178,0.9931116389548693,0.9962,0.8377659574468085
400,0.811889168765743,0.921651535878622,0.9450793650793651,0.9955555555555555,0.9684618930547019,0.9912114014251782,0.9963,0.8382978723404255
500,0.8116372795969773,0.922397711727397,0.9485714285714286,0.9955555555555555,0.9761831591886908,0.992319873317498,0.9967,0.8382978723404255
600,0.8121410579345089,0.921651535878622,0.9536507936507936,0.9948148148148148,0.9772971727105101,0.9912905779889153,0.9959,0.8377659574468085
700,0.8141057934508816,0.9245118766322596,0.9553968253968254,0.9940740740740741,0.9775276582667486,0.9925574030087094,0.9968,0.8382978723404255
800,0.8132997481108313,0.9265016788956597,0.9542857142857143,0.9940740740740741,0.9767593730792871,0.9931116389548693,0.9967,0.8377659574468085
900,0.8144584382871537,0.9262529536127347,0.9544444444444444,0.9940740740740741,0.9768746158574063,0.9930324623911322,0.9969,0.8372340425531914
1000,0.8140554156171285,0.9258798656883472,0.953968253968254,0.9940740740740741,0.9769514443761524,0.9930324623911322,0.9968,0.8372340425531914
